,time,Biomass,Phosphate
120,120.0,0.1370354,-8.118317852351118e-08
121,121.0,0.1370354,-8.118317852351118e-08
122,122.0,0.1370354,-8.118317852351118e-08
123,123.0,0.1370354,-8.118317852351118e-08
124,124.0,0.1370354,-8.118317852351118e-08
125,125.0,0.1370354,-8.118317852351118e-08
126,126.0,0.1370354,-8.118317852351118e-08
127,127.0,0.1370354,-8.118317852351118e-08
128,128.0,0.1370354,-8.118317852351118e-08
129,129.0,0.1370354,-8.118317852351118e-08
130,130.0,0.1370354,-8.118317852351118e-08
131,131.0,0.1370354,-8.118317852351118e-08
132,132.0,0.1370354,-8.118317852351118e-08
133,133.0,0.1370354,-8.118317852351118e-08
134,134.0,0.1370354,-8.118317852351118e-08
135,135.0,0.1370354,-8.118317852351118e-08
136,136.0,0.1370354,-8.118317852351118e-08
137,137.0,0.1370354,-8.118317852351118e-08
138,138.0,0.1370354,-8.118317852351118e-08
139,139.0,0.1370354,-8.118317852351118e-08
140,140.0,0.1370354,-8.118317852351118e-08
141,141.0,0.1370354,-8.118317852351118e-08
142,142.0,0.1370354,-8.118317852351118e-08
143,143.0,0.1370354,-8.118317852351118e-08
144,144.0,0.1370354,-8.118317852351118e-08
145,145.0,0.1370354,-8.118317852351118e-08
146,146.0,0.1370354,-8.118317852351118e-08
147,147.0,0.1370354,-8.118317852351118e-08
148,148.0,0.1370354,-8.118317852351118e-08
149,149.0,0.1370354,-8.118317852351118e-08
150,150.0,0.1370354,-8.118317852351118e-08
151,151.0,0.1370354,-8.118317852351118e-08
152,152.0,0.1370354,-8.118317852351118e-08
153,153.0,0.1370354,-8.118317852351118e-08
154,154.0,0.1370354,-8.118317852351118e-08
155,155.0,0.1370354,-8.118317852351118e-08
156,156.0,0.1370354,-8.118317852351118e-08
157,157.0,0.1370354,-8.118317852351118e-08
158,158.0,0.1370354,-8.118317852351118e-08
159,159.0,0.1370354,-8.118317852351118e-08
160,160.0,0.1370354,-8.118317852351118e-08
161,161.0,0.1370354,-8.118317852351118e-08
162,162.0,0.1370354,-8.118317852351118e-08
163,163.0,0.1370354,-8.118317852351118e-08
164,164.0,0.1370354,-8.118317852351118e-08
165,165.0,0.1370354,-8.118317852351118e-08
166,166.0,0.1370354,-8.118317852351118e-08
167,167.0,0.1370354,-8.118317852351118e-08
168,168.0,0.1370354,-8.118317852351118e-08
169,169.0,0.1370354,-8.118317852351118e-08
170,170.0,0.1370354,-8.118317852351118e-08
171,171.0,0.1370354,-8.118317852351118e-08
172,172.0,0.1370354,-8.118317852351118e-08
173,173.0,0.1370354,-8.118317852351118e-08
174,174.0,0.1370354,-8.118317852351118e-08
175,175.0,0.1370354,-8.118317852351118e-08
176,176.0,0.1370354,-8.118317852351118e-08
177,177.0,0.1370354,-8.118317852351118e-08
178,178.0,0.1370354,-8.118317852351118e-08
179,179.0,0.1370354,-8.118317852351118e-08
180,180.0,0.1370354,-8.118317852351118e-08
181,181.0,0.1370354,-8.118317852351118e-08
182,182.0,0.1370354,-8.118317852351118e-08
183,183.0,0.1370354,-8.118317852351118e-08
184,184.0,0.1370354,-8.118317852351118e-08
185,185.0,0.1370354,-8.118317852351118e-08
186,186.0,0.1370354,-8.118317852351118e-08
187,187.0,0.1370354,-8.118317852351118e-08
188,188.0,0.1370354,-8.118317852351118e-08
189,189.0,0.1370354,-8.118317852351118e-08
190,190.0,0.1370354,-8.118317852351118e-08
191,191.0,0.1370354,-8.118317852351118e-08
192,192.0,0.1370354,-8.118317852351118e-08
193,193.0,0.1370354,-8.118317852351118e-08
194,194.0,0.1370354,-8.118317852351118e-08
195,195.0,0.1370354,-8.118317852351118e-08
196,196.0,0.1370354,-8.118317852351118e-08
197,197.0,0.1370354,-8.118317852351118e-08
198,198.0,0.1370354,-8.118317852351118e-08
199,199.0,0.1370354,-8.118317852351118e-08
200,200.0,0.1370354,-8.118317852351118e-08
201,201.0,0.1370354,-8.118317852351118e-08
202,202.0,0.1370354,-8.118317852351118e-08
203,203.0,0.1370354,-8.118317852351118e-08
204,204.0,0.1370354,-8.118317852351118e-08
