,time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C00369__chlo,DM_C02094__chlo,EX_C00244__dra,DM_C05306__chlo,DM_C05307__chlo,EX_C00011__dra,DM_C00116__cytop,DM_C00404__vacu
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.18464398357797954,-0.03383463745331295,0.0006331678149859973,2.3057444400743576e-07,-0.9770478224857136,0.013645970986138421,0.007887844500658046,-13.400526853311383,0.17595901626907573,-0.000817
2,0.2,0.20151494952575977,-0.03876859598635322,0.0006287641230252636,3.2628490037029577e-07,-1.0061088530425577,0.005353715335473576,0.0030946331418922404,-13.445065490015239,0.1933930981770128,-0.0008179503125700747
3,0.30000000000000004,0.21141226164340038,-0.04163513461724964,0.000624579846192775,3.8491646813263835e-07,-1.0343643878562607,0.0022645433105063194,0.0013089845725470053,-13.614344875416679,0.2083305453568332,-0.0008196260683085374
4,0.4,0.21859456986431214,-0.04369612881975373,0.0006206837893254597,4.34282387089923e-07,-1.0618983426388204,0.0011364169499888316,0.0006568884103981686,-13.826137034214739,0.22111987569953995,-0.0008216102673677658
5,0.5,0.22466311449245402,-0.045426240344378116,0.0006171156232886756,4.817210962950542e-07,-1.088699370605418,0.0007435429228182718,0.00042979359700478137,-14.04893552683562,0.23202077577788427,-0.0008237381130222476
6,0.6,0.23022200745936272,-0.04700472108764016,0.0006138996646764473,5.30438418061488e-07,-1.1147313337832696,0.000618410035097643,0.00035746244803331966,-14.267129797992752,0.2412478001515976,-0.00082594052317207
7,0.7,0.23549111397644196,-0.04849699983792037,0.000611051004124832,5.817210948404637e-07,-1.1399553521320225,0.0005867927048038564,0.0003391865345687031,-14.476038153363852,0.24898460592556138,-0.0008281847373748073
8,0.7999999999999999,0.24054527041754908,-0.0499255435227717,0.0006085782470393348,6.360266967274446e-07,-1.1643376021726415,0.0005861271696237867,0.00033880183215247785,-14.674169551609944,0.2553910840480453,-0.0008304517377367739
9,0.8999999999999999,0.24540709018052273,-0.05129733747035521,0.0006064849100382078,6.934638123816985e-07,-1.1878516358000277,0.0005949376018720232,0.0003438945675560828,-14.861221915510864,0.26060764270888276,-0.0008327279188219188
10,0.9999999999999999,0.25008183501437964,-0.05261420608562307,0.0006047702783775126,7.539886131251523e-07,-1.2104786233145661,0.0006062188020960308,0.00035041549254105826,-15.03732400969055,0.2647582191410165,-0.000835002153312788
11,1.0999999999999999,0.2545715335915201,-0.05387696595775465,0.0006034295550127258,8.175099941825799e-07,-1.2322147512527573,0.0006178158958383301,0.0003571190149354509,-15.202881871062866,0.2679602570058242,-0.0008372656235380485
12,1.2,0.25887590787033327,-0.05508574580855435,0.0006024555148873899,8.838681719411986e-07,-1.253054740470496,0.0006291050715115821,0.00036364455000669485,-15.358235111245783,0.27031114029283815,-0.0008395099124036088
13,1.3,0.26299510867818743,-0.05624077552838813,0.0006018383931743231,9.528651057711569e-07,-1.2729982733710614,0.0006399207207238694,0.0003698963703606181,-15.503736201113677,0.2718971096460847,-0.0008417275971852871
14,1.4000000000000001,0.26693014116523406,-0.05734251089177477,0.0006015662754126014,1.0242720414366802e-06,-1.2920499730128825,0.0006502269095185663,0.00037585370492402675,-15.639749184240051,0.2727953295144564,-0.0008439122618734645
15,1.5000000000000002,0.27068285017863014,-0.058391630653915956,0.0006016254955618378,1.097833339004516e-06,-1.310218736746517,0.0006600229898878262,0.00038151617912591114,-15.766670281026997,0.2730750376426229,-0.0008460584413936951
16,1.6000000000000003,0.27425582707245993,-0.05938901071890102,0.0006020009991164689,1.1732701115818144e-06,-1.3275171264517727,0.0006693182330787943,0.00038688915206866724,-15.884858669966885,0.27279852813467464,-0.0008481615594828877
17,1.7000000000000004,0.2776523034263184,-0.06033569461689929,0.0006026766719235542,1.2502840341450832e-06,-1.3439608145199269,0.0006781253014060228,0.0003919799430092617,-15.994674024782574,0.27202199337189464,-0.0008502178603228658
18,1.8000000000000005,0.28087604956027573,-0.061232865483616415,0.0006036356354444479,1.3285613464657146e-06,-1.3595680830382226,0.0006864584822383455,0.00039679681054239626,-16.09648746092086,0.27079624626490084,-0.0008522243364637142
19,1.9000000000000006,0.28393128193699935,-0.06208182067845318,0.0006048605094962783,1.40777697333468e-06,-1.3743593730309906,0.0006943330588350042,0.00040134858892196777,-16.19066631291228,0.26916734110310747,-0.0008541786556605028
20,2.0000000000000004,0.28682257986797166,-0.06288394911059615,0.0006063336438081174,1.4875986611613865e-06,-1.388356880378531,0.0007017649639786503,0.0004056444878489308,-16.27757253531361,0.26717710846506876,-0.0008560790887604025
21,2.1000000000000005,0.2895548110543418,-0.06364071109530714,0.0006080373199731017,1.5676910303964653e-06,-1.4015841949674757,0.0007087705293498565,0.0004096939476010731,-16.35756134314696,0.26486361723099905,-0.0008579244402241444
22,2.2000000000000006,0.29213306531156336,-0.064353620521884,0.0006099539255625002,1.6477194521056358e-06,-1.4140659796652455,0.0007153662882775325,0.00041350652501591476,-16.431265287684823,0.2622615746726059,-0.0008597139823787591
23,2.3000000000000007,0.2945625958139122,-0.06502422912062356,0.0006120661022962484,1.7273536695928862e-06,-1.4258276858283454,0.0007215688181376337,0.0004170918023916958,-16.498969169532533,0.25940267385745214,-0.0008614473941025952
24,2.400000000000001,0.29684876722227455,-0.06565411263184494,0.0006143568702451016,1.8062711004829576e-06,-1.4368953022230533,0.0007273946145072148,0.00042045931474405475,-16.560753596201803,0.2563158961550197,-0.0008631247043341449
