,time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C00369__chlo,DM_C02094__chlo,EX_C00244__dra,DM_C05306__chlo,DM_C05307__chlo,EX_C00011__dra,DM_C00116__cytop
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08333333333333333,0.1344605018127043,-0.03951267698386566,0.003341342924903075,2.4150897168471726e-07,-0.7349110716969679,0.013645970986138421,0.007887844500658046,-15.547228927011327,0.16676669806831385
2,0.16666666666666666,0.13445547493162707,-0.03951119978033625,0.0032356427587874968,3.6410288491835473e-07,-0.6908472586844278,0.006669008016620901,0.003854917928682602,-14.817423714689083,0.1874006396730228
3,0.25,0.13445026267971125,-0.039509668103576555,0.0031304893875462488,4.6874949336367405e-07,-0.669474624398147,0.0032870346572159742,0.0019000200330728176,-14.386194981792475,0.20369633323236364
4,0.3333333333333333,0.13444486277907275,-0.039508081284200566,0.0030270179741742464,5.756283738990954e-07,-0.6592949658889007,0.0016784508998687218,0.0009702028322940588,-14.100914031491433,0.21676607275904025
5,0.41666666666666663,0.13443927110466625,-0.03950643811002174,0.0029259028350506477,6.893193882351583e-07,-0.6545487771740607,0.0009308106899126499,0.0005380408612211849,-13.885709178852045,0.22729857695570055
6,0.49999999999999994,0.13443348335800087,-0.03950473731788276,0.002827539694834248,8.130009004512825e-07,-0.6523826842859768,0.0005920718036047871,0.00034223803676577285,-13.703508421394874,0.23576639059407548
7,0.5833333333333333,0.13442749400690399,-0.039502977282097215,0.0027321824417301174,9.487730904721783e-07,-0.6514114459015112,0.0004427817400022853,0.0002559432023134597,-13.536783831952485,0.2425162604777371
8,0.6666666666666666,0.1344212969108119,-0.03950115619818655,0.002639994994683585,1.0979740739187205e-06,-0.6509782209829416,0.00037888521173121874,0.0002190087929082189,-13.377634749930623,0.2478193014894282
9,0.75,0.13441488564784726,-0.03949927217902119,0.0025510813487021767,1.2614310771730163e-06,-0.6507799147697211,0.00035236936801945026,0.00020368171561817931,-13.222770797102358,0.2518963782647928
10,0.8333333333333334,0.13440825353789007,-0.03949732326157561,0.0024655050285277685,1.4396254807557934e-06,-0.6506807102530097,0.00034172251799406505,0.0001975274670485925,-13.071023259470726,0.2549314803749248
11,0.9166666666666667,0.1344013936416995,-0.03949530740666753,0.0023833000815688746,1.6327942752825585e-06,-0.6506215851595039,0.00033759936780328816,0.00019514414323889488,-12.922144570960485,0.2570798175175638
12,1.0,0.1343942987479427,-0.03949322249517774,0.002304477540555041,1.8409898214524489e-06,-0.6505776887286636,0.0003360684503599308,0.00019425921986123166,-12.776249462851181,0.25847323631083413
13,1.0833333333333333,0.13438696135438027,-0.03949106632249027,0.002229029518194321,2.0641150639260573e-06,-0.6505388879202172,0.0003355301744346195,0.00019394807770787252,-12.633566016453628,0.2592241796679841
14,1.1666666666666665,0.1343793736456812,-0.03948883659198317,0.00215693207985339,2.301945525980274e-06,-0.6505011772752052,0.00033535594963457775,0.0001938473697309698,-12.494331293271115,0.25942877101120987
15,1.2499999999999998,0.13437152746929126,-0.03948653090794178,0.0020881474781822163,2.5541448342700964e-06,-0.650463013960483,0.00033530758461175486,0.00019381941307037852,-12.358751833441344,0.2591693131017502
16,1.333333333333333,0.1343634143098761,-0.039484146768042266,0.0020226260356227873,2.820277445588413e-06,-0.6504238088415938,0.0003352982549548973,0.00019381402020514292,-12.226991936186131,0.2585163575835191
17,1.4166666666666663,0.13435502526240084,-0.03948168155544501,0.0019603078096081476,3.0998203692924356e-06,-0.6503833276985509,0.00033529766143641977,0.00019381367713087848,-12.099173115766806,0.25753043914972484
18,1.4999999999999996,0.13434635100387501,-0.03947913253048576,0.0019011241020360971,3.3921746225390987e-06,-0.6503414624606294,0.00033529580949991154,0.0001938126066473477,-11.975377605216499,0.25626353778606276
19,1.5833333333333328,0.1343373817635504,-0.03947649682192638,0.0018449988408160527,3.696676609586066e-06,-0.6502981471226518,0.0003352897110866743,0.00019380908155299092,-11.855652997691855,0.25476031614844624
20,1.666666666666666,0.13432810819121851,-0.039473771682103954,0.001791844832129812,4.012643356962289e-06,-0.6502533323019674,0.00033527869010001137,0.000193802711040469,-11.740014831890486,0.253060107104649
21,1.7499999999999993,0.13431851965801078,-0.039470953987612654,0.0017415754196633965,4.339320996294697e-06,-0.6502069670845185,0.0003352628052412059,0.00019379352904115948,-11.62845563710563,0.2511958412018644
22,1.8333333333333326,0.1343086049658507,-0.03946804044777446,0.0016941002105792333,4.675922293929744e-06,-0.6501589991625049,0.0003352423295164997,0.00019378169336213859,-11.520946235695698,0.24919581506371857
23,1.9166666666666659,0.13429835232299805,-0.039465027597459235,0.0016493259098686649,5.0216369401815e-06,-0.6501093736856991,0.00033521758694590736,0.00019376739129821235,-11.41743909033506,0.24708435781858973
24,1.9999999999999991,0.1342877493020635,-0.03946191178474553,0.0016071571598055556,5.375640584167148e-06,-0.6500580327396092,0.0003351889019842644,0.00019375081039552854,-11.317871291290633,0.2448823841418259
25,2.0833333333333326,0.13427678279507074,-0.0394586891577065,0.0015674972929631478,5.737103075604362e-06,-0.6500049150277392,0.0003351565835440234,0.0001937321292161985,-11.222167183407857,0.24260786701353754
26,2.166666666666666,0.1342654389651234,-0.03945535565023033,0.001530249003445212,6.105195860004859e-06,-0.6499499556042015,0.0003351209195640023,0.00019371151419884526,-11.130240672794072,0.24027624247340773
27,2.2499999999999996,0.13425370319464267,-0.03945190696677444,0.0014953149411551687,6.479098502790942e-06,-0.6498930856110545,0.00033508217498018085,0.00019368911848565367,-11.041997249169837,0.2379007566827917
