Reaction;Subsystem
HMR_1261;Leukotriene metabolism
HMR_1262;Leukotriene metabolism
HMR_1263;Leukotriene metabolism
HMR_1264;Leukotriene metabolism
HMR_1265;Leukotriene metabolism
HMR_1266;Leukotriene metabolism
HMR_1270;Leukotriene metabolism
HMR_1271;Leukotriene metabolism
HMR_1272;Leukotriene metabolism
HMR_1273;Leukotriene metabolism
HMR_1274;Leukotriene metabolism
HMR_1275;Leukotriene metabolism
HMR_1276;Leukotriene metabolism
HMR_1277;Leukotriene metabolism
HMR_1278;Leukotriene metabolism
HMR_1279;Leukotriene metabolism
HMR_1280;Leukotriene metabolism
HMR_1281;Leukotriene metabolism
HMR_1282;Leukotriene metabolism
HMR_1285;Leukotriene metabolism
HMR_1287;Leukotriene metabolism
HMR_1288;Leukotriene metabolism
HMR_1289;Leukotriene metabolism
HMR_1290;Leukotriene metabolism
HMR_1291;Leukotriene metabolism
HMR_1292;Leukotriene metabolism
HMR_1293;Leukotriene metabolism
HMR_1294;Leukotriene metabolism
HMR_1295;Leukotriene metabolism
HMR_1296;Leukotriene metabolism
HMR_1297;Leukotriene metabolism
HMR_1298;Leukotriene metabolism
HMR_1299;Leukotriene metabolism
HMR_1300;Leukotriene metabolism
HMR_1301;Leukotriene metabolism
HMR_1303;Leukotriene metabolism
HMR_1304;Leukotriene metabolism
HMR_4796;Leukotriene metabolism
HMR_8545;Eicosanoid metabolism
HMR_8546;Eicosanoid metabolism
HMR_8547;Eicosanoid metabolism
HMR_8548;Eicosanoid metabolism
HMR_8549;Eicosanoid metabolism
HMR_8550;Eicosanoid metabolism
HMR_8552;Eicosanoid metabolism
HMR_8554;Eicosanoid metabolism
HMR_8555;Eicosanoid metabolism
HMR_8556;Eicosanoid metabolism
HMR_8557;Eicosanoid metabolism
HMR_8558;Eicosanoid metabolism
HMR_8559;Eicosanoid metabolism
HMR_8560;Eicosanoid metabolism
HMR_8561;Eicosanoid metabolism
HMR_0154;Acyl-CoA hydrolysis
HMR_0189;Acyl-CoA hydrolysis
HMR_0193;Acyl-CoA hydrolysis
HMR_0197;Acyl-CoA hydrolysis
HMR_0201;Acyl-CoA hydrolysis
HMR_0206;Acyl-CoA hydrolysis
HMR_0210;Acyl-CoA hydrolysis
HMR_0214;Acyl-CoA hydrolysis
HMR_0223;Acyl-CoA hydrolysis
HMR_0230;Acyl-CoA hydrolysis
HMR_0234;Acyl-CoA hydrolysis
HMR_0238;Acyl-CoA hydrolysis
HMR_0242;Acyl-CoA hydrolysis
HMR_0246;Acyl-CoA hydrolysis
HMR_0250;Acyl-CoA hydrolysis
HMR_0256;Acyl-CoA hydrolysis
HMR_0260;Acyl-CoA hydrolysis
HMR_0264;Acyl-CoA hydrolysis
HMR_0268;Acyl-CoA hydrolysis
HMR_0272;Acyl-CoA hydrolysis
HMR_0276;Acyl-CoA hydrolysis
HMR_0280;Acyl-CoA hydrolysis
HMR_0284;Acyl-CoA hydrolysis
HMR_0290;Acyl-CoA hydrolysis
HMR_0294;Acyl-CoA hydrolysis
HMR_0298;Acyl-CoA hydrolysis
HMR_0302;Acyl-CoA hydrolysis
HMR_0306;Acyl-CoA hydrolysis
HMR_0310;Acyl-CoA hydrolysis
HMR_0314;Acyl-CoA hydrolysis
HMR_0320;Acyl-CoA hydrolysis
HMR_0324;Acyl-CoA hydrolysis
HMR_0328;Acyl-CoA hydrolysis
HMR_0332;Acyl-CoA hydrolysis
HMR_0338;Acyl-CoA hydrolysis
HMR_0342;Acyl-CoA hydrolysis
HMR_0346;Acyl-CoA hydrolysis
HMR_0350;Acyl-CoA hydrolysis
HMR_0354;Acyl-CoA hydrolysis
HMR_0358;Acyl-CoA hydrolysis
HMR_0362;Acyl-CoA hydrolysis
HMR_0366;Acyl-CoA hydrolysis
HMR_0370;Acyl-CoA hydrolysis
HMR_0374;Acyl-CoA hydrolysis
HMR_0378;Acyl-CoA hydrolysis
HMR_0382;Acyl-CoA hydrolysis
HMR_0386;Acyl-CoA hydrolysis
HMR_0390;Acyl-CoA hydrolysis
HMR_0394;Acyl-CoA hydrolysis
HMR_0398;Acyl-CoA hydrolysis
HMR_0402;Acyl-CoA hydrolysis
HMR_0406;Acyl-CoA hydrolysis
HMR_0410;Acyl-CoA hydrolysis
HMR_0414;Acyl-CoA hydrolysis
HMR_0418;Acyl-CoA hydrolysis
HMR_0422;Acyl-CoA hydrolysis
HMR_0426;Acyl-CoA hydrolysis
HMR_0430;Acyl-CoA hydrolysis
HMR_0434;Acyl-CoA hydrolysis
HMR_0438;Acyl-CoA hydrolysis
HMR_3475;Acyl-CoA hydrolysis
HMR_0159;Carnitine shuttle (cytosolic)
HMR_2591;Carnitine shuttle (cytosolic)
HMR_2594;Carnitine shuttle (cytosolic)
HMR_2599;Carnitine shuttle (cytosolic)
HMR_2602;Carnitine shuttle (cytosolic)
HMR_2605;Carnitine shuttle (cytosolic)
HMR_2608;Carnitine shuttle (cytosolic)
HMR_2611;Carnitine shuttle (cytosolic)
HMR_2614;Carnitine shuttle (cytosolic)
HMR_2620;Carnitine shuttle (cytosolic)
HMR_2623;Carnitine shuttle (cytosolic)
HMR_2626;Carnitine shuttle (cytosolic)
HMR_2633;Carnitine shuttle (cytosolic)
HMR_2636;Carnitine shuttle (cytosolic)
HMR_2642;Carnitine shuttle (cytosolic)
HMR_2648;Carnitine shuttle (cytosolic)
HMR_2651;Carnitine shuttle (cytosolic)
HMR_2654;Carnitine shuttle (cytosolic)
HMR_2657;Carnitine shuttle (cytosolic)
HMR_2660;Carnitine shuttle (cytosolic)
HMR_2663;Carnitine shuttle (cytosolic)
HMR_2666;Carnitine shuttle (cytosolic)
HMR_2669;Carnitine shuttle (cytosolic)
HMR_2672;Carnitine shuttle (cytosolic)
HMR_2675;Carnitine shuttle (cytosolic)
HMR_2678;Carnitine shuttle (cytosolic)
HMR_2681;Carnitine shuttle (cytosolic)
HMR_2684;Carnitine shuttle (cytosolic)
HMR_2687;Carnitine shuttle (cytosolic)
HMR_2690;Carnitine shuttle (cytosolic)
HMR_2693;Carnitine shuttle (cytosolic)
HMR_2699;Carnitine shuttle (cytosolic)
HMR_2702;Carnitine shuttle (cytosolic)
HMR_2705;Carnitine shuttle (cytosolic)
HMR_2708;Carnitine shuttle (cytosolic)
HMR_2711;Carnitine shuttle (cytosolic)
HMR_2714;Carnitine shuttle (cytosolic)
HMR_2717;Carnitine shuttle (cytosolic)
HMR_2720;Carnitine shuttle (cytosolic)
HMR_2726;Carnitine shuttle (cytosolic)
HMR_2730;Carnitine shuttle (cytosolic)
HMR_2733;Carnitine shuttle (cytosolic)
HMR_2736;Carnitine shuttle (cytosolic)
HMR_2739;Carnitine shuttle (cytosolic)
HMR_2742;Carnitine shuttle (cytosolic)
HMR_2746;Carnitine shuttle (cytosolic)
HMR_2752;Carnitine shuttle (cytosolic)
HMR_2755;Carnitine shuttle (cytosolic)
HMR_2759;Carnitine shuttle (cytosolic)
HMR_2762;Carnitine shuttle (cytosolic)
HMR_2768;Carnitine shuttle (cytosolic)
HMR_2771;Carnitine shuttle (cytosolic)
HMR_2774;Carnitine shuttle (cytosolic)
HMR_2877;Carnitine shuttle (cytosolic)
HMR_3032;Carnitine shuttle (cytosolic)
HMR_0160;Carnitine shuttle (mitochondrial)
HMR_0161;Carnitine shuttle (mitochondrial)
HMR_0162;Carnitine shuttle (mitochondrial)
HMR_0163;Carnitine shuttle (mitochondrial)
HMR_2592;Carnitine shuttle (mitochondrial)
HMR_2593;Carnitine shuttle (mitochondrial)
HMR_2596;Carnitine shuttle (mitochondrial)
HMR_2598;Carnitine shuttle (mitochondrial)
HMR_2600;Carnitine shuttle (mitochondrial)
HMR_2601;Carnitine shuttle (mitochondrial)
HMR_2603;Carnitine shuttle (mitochondrial)
HMR_2604;Carnitine shuttle (mitochondrial)
HMR_2606;Carnitine shuttle (mitochondrial)
HMR_2607;Carnitine shuttle (mitochondrial)
HMR_2609;Carnitine shuttle (mitochondrial)
HMR_2610;Carnitine shuttle (mitochondrial)
HMR_2612;Carnitine shuttle (mitochondrial)
HMR_2613;Carnitine shuttle (mitochondrial)
HMR_2616;Carnitine shuttle (mitochondrial)
HMR_2618;Carnitine shuttle (mitochondrial)
HMR_2621;Carnitine shuttle (mitochondrial)
HMR_2622;Carnitine shuttle (mitochondrial)
HMR_2624;Carnitine shuttle (mitochondrial)
HMR_2625;Carnitine shuttle (mitochondrial)
HMR_2629;Carnitine shuttle (mitochondrial)
HMR_2630;Carnitine shuttle (mitochondrial)
HMR_2634;Carnitine shuttle (mitochondrial)
HMR_2635;Carnitine shuttle (mitochondrial)
HMR_2638;Carnitine shuttle (mitochondrial)
HMR_2640;Carnitine shuttle (mitochondrial)
HMR_2644;Carnitine shuttle (mitochondrial)
HMR_2646;Carnitine shuttle (mitochondrial)
HMR_2649;Carnitine shuttle (mitochondrial)
HMR_2650;Carnitine shuttle (mitochondrial)
HMR_2652;Carnitine shuttle (mitochondrial)
HMR_2653;Carnitine shuttle (mitochondrial)
HMR_2655;Carnitine shuttle (mitochondrial)
HMR_2656;Carnitine shuttle (mitochondrial)
HMR_2658;Carnitine shuttle (mitochondrial)
HMR_2659;Carnitine shuttle (mitochondrial)
HMR_2661;Carnitine shuttle (mitochondrial)
HMR_2662;Carnitine shuttle (mitochondrial)
HMR_2664;Carnitine shuttle (mitochondrial)
HMR_2665;Carnitine shuttle (mitochondrial)
HMR_2667;Carnitine shuttle (mitochondrial)
HMR_2668;Carnitine shuttle (mitochondrial)
HMR_2670;Carnitine shuttle (mitochondrial)
HMR_2671;Carnitine shuttle (mitochondrial)
HMR_2673;Carnitine shuttle (mitochondrial)
HMR_2674;Carnitine shuttle (mitochondrial)
HMR_2676;Carnitine shuttle (mitochondrial)
HMR_2677;Carnitine shuttle (mitochondrial)
HMR_2679;Carnitine shuttle (mitochondrial)
HMR_2680;Carnitine shuttle (mitochondrial)
HMR_2682;Carnitine shuttle (mitochondrial)
HMR_2683;Carnitine shuttle (mitochondrial)
HMR_2685;Carnitine shuttle (mitochondrial)
HMR_2686;Carnitine shuttle (mitochondrial)
HMR_2688;Carnitine shuttle (mitochondrial)
HMR_2689;Carnitine shuttle (mitochondrial)
HMR_2691;Carnitine shuttle (mitochondrial)
HMR_2692;Carnitine shuttle (mitochondrial)
HMR_2695;Carnitine shuttle (mitochondrial)
HMR_2697;Carnitine shuttle (mitochondrial)
HMR_2700;Carnitine shuttle (mitochondrial)
HMR_2701;Carnitine shuttle (mitochondrial)
HMR_2703;Carnitine shuttle (mitochondrial)
HMR_2704;Carnitine shuttle (mitochondrial)
HMR_2706;Carnitine shuttle (mitochondrial)
HMR_2707;Carnitine shuttle (mitochondrial)
HMR_2709;Carnitine shuttle (mitochondrial)
HMR_2710;Carnitine shuttle (mitochondrial)
HMR_2712;Carnitine shuttle (mitochondrial)
HMR_2713;Carnitine shuttle (mitochondrial)
HMR_2715;Carnitine shuttle (mitochondrial)
HMR_2716;Carnitine shuttle (mitochondrial)
HMR_2718;Carnitine shuttle (mitochondrial)
HMR_2719;Carnitine shuttle (mitochondrial)
HMR_2722;Carnitine shuttle (mitochondrial)
HMR_2724;Carnitine shuttle (mitochondrial)
HMR_2727;Carnitine shuttle (mitochondrial)
HMR_2729;Carnitine shuttle (mitochondrial)
HMR_2731;Carnitine shuttle (mitochondrial)
HMR_2732;Carnitine shuttle (mitochondrial)
HMR_2734;Carnitine shuttle (mitochondrial)
HMR_2735;Carnitine shuttle (mitochondrial)
HMR_2737;Carnitine shuttle (mitochondrial)
HMR_2738;Carnitine shuttle (mitochondrial)
HMR_2740;Carnitine shuttle (mitochondrial)
HMR_2741;Carnitine shuttle (mitochondrial)
HMR_2744;Carnitine shuttle (mitochondrial)
HMR_2745;Carnitine shuttle (mitochondrial)
HMR_2748;Carnitine shuttle (mitochondrial)
HMR_2750;Carnitine shuttle (mitochondrial)
HMR_2753;Carnitine shuttle (mitochondrial)
HMR_2754;Carnitine shuttle (mitochondrial)
HMR_2757;Carnitine shuttle (mitochondrial)
HMR_2758;Carnitine shuttle (mitochondrial)
HMR_2760;Carnitine shuttle (mitochondrial)
HMR_2761;Carnitine shuttle (mitochondrial)
HMR_2764;Carnitine shuttle (mitochondrial)
HMR_2766;Carnitine shuttle (mitochondrial)
HMR_2769;Carnitine shuttle (mitochondrial)
HMR_2770;Carnitine shuttle (mitochondrial)
HMR_2772;Carnitine shuttle (mitochondrial)
HMR_2773;Carnitine shuttle (mitochondrial)
HMR_2775;Carnitine shuttle (mitochondrial)
HMR_2776;Carnitine shuttle (mitochondrial)
HMR_3520;Carnitine shuttle (mitochondrial)
HMR_8418;Carnitine shuttle (mitochondrial)
HMR_3027;Carnitine shuttle (peroxisomal)
HMR_3028;Carnitine shuttle (peroxisomal)
HMR_3029;Carnitine shuttle (peroxisomal)
HMR_3030;Carnitine shuttle (peroxisomal)
HMR_3033;Carnitine shuttle (peroxisomal)
HMR_3034;Carnitine shuttle (peroxisomal)
HMR_3035;Carnitine shuttle (peroxisomal)
HMR_3037;Carnitine shuttle (peroxisomal)
HMR_2778;Carnitine shuttle (endoplasmic reticular)
HMR_2780;Carnitine shuttle (endoplasmic reticular)
HMR_2783;Carnitine shuttle (endoplasmic reticular)
HMR_2785;Carnitine shuttle (endoplasmic reticular)
HMR_2787;Carnitine shuttle (endoplasmic reticular)
HMR_2788;Carnitine shuttle (endoplasmic reticular)
HMR_2789;Carnitine shuttle (endoplasmic reticular)
HMR_2790;Carnitine shuttle (endoplasmic reticular)
HMR_2791;Carnitine shuttle (endoplasmic reticular)
HMR_2792;Carnitine shuttle (endoplasmic reticular)
HMR_2793;Carnitine shuttle (endoplasmic reticular)
HMR_2794;Carnitine shuttle (endoplasmic reticular)
HMR_2795;Carnitine shuttle (endoplasmic reticular)
HMR_2796;Carnitine shuttle (endoplasmic reticular)
HMR_2797;Carnitine shuttle (endoplasmic reticular)
HMR_2798;Carnitine shuttle (endoplasmic reticular)
HMR_2799;Carnitine shuttle (endoplasmic reticular)
HMR_2800;Carnitine shuttle (endoplasmic reticular)
HMR_2801;Carnitine shuttle (endoplasmic reticular)
HMR_2803;Carnitine shuttle (endoplasmic reticular)
HMR_2805;Carnitine shuttle (endoplasmic reticular)
HMR_2806;Carnitine shuttle (endoplasmic reticular)
HMR_2807;Carnitine shuttle (endoplasmic reticular)
HMR_2809;Carnitine shuttle (endoplasmic reticular)
HMR_2811;Carnitine shuttle (endoplasmic reticular)
HMR_2812;Carnitine shuttle (endoplasmic reticular)
HMR_2813;Carnitine shuttle (endoplasmic reticular)
HMR_2814;Carnitine shuttle (endoplasmic reticular)
HMR_2815;Carnitine shuttle (endoplasmic reticular)
HMR_2816;Carnitine shuttle (endoplasmic reticular)
HMR_2817;Carnitine shuttle (endoplasmic reticular)
HMR_2819;Carnitine shuttle (endoplasmic reticular)
HMR_2821;Carnitine shuttle (endoplasmic reticular)
HMR_2822;Carnitine shuttle (endoplasmic reticular)
HMR_2823;Carnitine shuttle (endoplasmic reticular)
HMR_2824;Carnitine shuttle (endoplasmic reticular)
HMR_2825;Carnitine shuttle (endoplasmic reticular)
HMR_2827;Carnitine shuttle (endoplasmic reticular)
HMR_2829;Carnitine shuttle (endoplasmic reticular)
HMR_2830;Carnitine shuttle (endoplasmic reticular)
HMR_2831;Carnitine shuttle (endoplasmic reticular)
HMR_2832;Carnitine shuttle (endoplasmic reticular)
HMR_2833;Carnitine shuttle (endoplasmic reticular)
HMR_2834;Carnitine shuttle (endoplasmic reticular)
HMR_2835;Carnitine shuttle (endoplasmic reticular)
HMR_2836;Carnitine shuttle (endoplasmic reticular)
HMR_2837;Carnitine shuttle (endoplasmic reticular)
HMR_2838;Carnitine shuttle (endoplasmic reticular)
HMR_2839;Carnitine shuttle (endoplasmic reticular)
HMR_2840;Carnitine shuttle (endoplasmic reticular)
HMR_2841;Carnitine shuttle (endoplasmic reticular)
HMR_2842;Carnitine shuttle (endoplasmic reticular)
HMR_2843;Carnitine shuttle (endoplasmic reticular)
HMR_2844;Carnitine shuttle (endoplasmic reticular)
HMR_2845;Carnitine shuttle (endoplasmic reticular)
HMR_2846;Carnitine shuttle (endoplasmic reticular)
HMR_2847;Carnitine shuttle (endoplasmic reticular)
HMR_2848;Carnitine shuttle (endoplasmic reticular)
HMR_2849;Carnitine shuttle (endoplasmic reticular)
HMR_2850;Carnitine shuttle (endoplasmic reticular)
HMR_2851;Carnitine shuttle (endoplasmic reticular)
HMR_2852;Carnitine shuttle (endoplasmic reticular)
HMR_2853;Carnitine shuttle (endoplasmic reticular)
HMR_2854;Carnitine shuttle (endoplasmic reticular)
HMR_2855;Carnitine shuttle (endoplasmic reticular)
HMR_2856;Carnitine shuttle (endoplasmic reticular)
HMR_2857;Carnitine shuttle (endoplasmic reticular)
HMR_2859;Carnitine shuttle (endoplasmic reticular)
HMR_2861;Carnitine shuttle (endoplasmic reticular)
HMR_2862;Carnitine shuttle (endoplasmic reticular)
HMR_2863;Carnitine shuttle (endoplasmic reticular)
HMR_2864;Carnitine shuttle (endoplasmic reticular)
HMR_2865;Carnitine shuttle (endoplasmic reticular)
HMR_2866;Carnitine shuttle (endoplasmic reticular)
HMR_2867;Carnitine shuttle (endoplasmic reticular)
HMR_2868;Carnitine shuttle (endoplasmic reticular)
HMR_2869;Carnitine shuttle (endoplasmic reticular)
HMR_2870;Carnitine shuttle (endoplasmic reticular)
HMR_2871;Carnitine shuttle (endoplasmic reticular)
HMR_2872;Carnitine shuttle (endoplasmic reticular)
HMR_2873;Carnitine shuttle (endoplasmic reticular)
HMR_2874;Carnitine shuttle (endoplasmic reticular)
HMR_2875;Carnitine shuttle (endoplasmic reticular)
HMR_2876;Carnitine shuttle (endoplasmic reticular)
HMR_2878;Carnitine shuttle (endoplasmic reticular)
HMR_2879;Carnitine shuttle (endoplasmic reticular)
HMR_2880;Carnitine shuttle (endoplasmic reticular)
HMR_2882;Carnitine shuttle (endoplasmic reticular)
HMR_2884;Carnitine shuttle (endoplasmic reticular)
HMR_2886;Carnitine shuttle (endoplasmic reticular)
HMR_2888;Carnitine shuttle (endoplasmic reticular)
HMR_2890;Carnitine shuttle (endoplasmic reticular)
HMR_2892;Carnitine shuttle (endoplasmic reticular)
HMR_2894;Carnitine shuttle (endoplasmic reticular)
HMR_2896;Carnitine shuttle (endoplasmic reticular)
HMR_2897;Carnitine shuttle (endoplasmic reticular)
HMR_2898;Carnitine shuttle (endoplasmic reticular)
HMR_2899;Carnitine shuttle (endoplasmic reticular)
HMR_2900;Carnitine shuttle (endoplasmic reticular)
HMR_2901;Carnitine shuttle (endoplasmic reticular)
HMR_2902;Carnitine shuttle (endoplasmic reticular)
HMR_2903;Carnitine shuttle (endoplasmic reticular)
HMR_2904;Carnitine shuttle (endoplasmic reticular)
HMR_2905;Carnitine shuttle (endoplasmic reticular)
HMR_2906;Carnitine shuttle (endoplasmic reticular)
HMR_2907;Carnitine shuttle (endoplasmic reticular)
HMR_2908;Carnitine shuttle (endoplasmic reticular)
HMR_2909;Carnitine shuttle (endoplasmic reticular)
HMR_2910;Carnitine shuttle (endoplasmic reticular)
HMR_2911;Carnitine shuttle (endoplasmic reticular)
HMR_2912;Carnitine shuttle (endoplasmic reticular)
HMR_2913;Carnitine shuttle (endoplasmic reticular)
HMR_2914;Carnitine shuttle (endoplasmic reticular)
HMR_2915;Carnitine shuttle (endoplasmic reticular)
HMR_2916;Carnitine shuttle (endoplasmic reticular)
HMR_2917;Carnitine shuttle (endoplasmic reticular)
HMR_2918;Carnitine shuttle (endoplasmic reticular)
HMR_2919;Carnitine shuttle (endoplasmic reticular)
HMR_2920;Carnitine shuttle (endoplasmic reticular)
HMR_2921;Carnitine shuttle (endoplasmic reticular)
HMR_2922;Carnitine shuttle (endoplasmic reticular)
HMR_2923;Carnitine shuttle (endoplasmic reticular)
HMR_2924;Carnitine shuttle (endoplasmic reticular)
HMR_2925;Carnitine shuttle (endoplasmic reticular)
HMR_2926;Carnitine shuttle (endoplasmic reticular)
HMR_2927;Carnitine shuttle (endoplasmic reticular)
HMR_2928;Carnitine shuttle (endoplasmic reticular)
HMR_2929;Carnitine shuttle (endoplasmic reticular)
HMR_2930;Carnitine shuttle (endoplasmic reticular)
HMR_2931;Carnitine shuttle (endoplasmic reticular)
HMR_2932;Carnitine shuttle (endoplasmic reticular)
HMR_0449;Acylglycerides metabolism
HMR_0604;Acylglycerides metabolism
HMR_0605;Acylglycerides metabolism
HMR_0665;Acylglycerides metabolism
HMR_0667;Acylglycerides metabolism
HMR_0668;Acylglycerides metabolism
HMR_0669;Acylglycerides metabolism
HMR_0670;Acylglycerides metabolism
HMR_0671;Acylglycerides metabolism
HMR_0672;Acylglycerides metabolism
HMR_0679;Acylglycerides metabolism
HMR_0680;Acylglycerides metabolism
HMR_0681;Acylglycerides metabolism
HMR_0682;Acylglycerides metabolism
HMR_0683;Acylglycerides metabolism
HMR_0684;Acylglycerides metabolism
HMR_7588;Acylglycerides metabolism
HMR_3053;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3054;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3055;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3057;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3058;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3059;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3060;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3062;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3063;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3064;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3065;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3066;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3067;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3068;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3069;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3070;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3071;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3072;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3073;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3074;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3075;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3076;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3077;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3078;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3079;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3080;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3081;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3082;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3083;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3084;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3085;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3086;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3087;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3088;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3089;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3090;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3091;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3092;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3093;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3094;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3095;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3096;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3097;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3098;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3099;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3100;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3101;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3102;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3103;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3104;Beta oxidation of even-chain fatty acids (peroxisomal)
HMR_3106;Transport reactions
HMR_3056;Beta oxidation of odd-chain fatty acids (peroxisomal)
HMR_3326;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3327;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3328;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3329;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3330;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3331;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3332;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3333;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3334;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3335;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3336;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3337;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3338;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3339;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3340;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3341;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3342;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3343;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3344;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3345;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3346;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3347;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3348;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3349;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3350;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3351;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3352;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3353;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3355;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3364;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3365;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3367;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3368;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3369;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3370;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3372;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3373;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3375;Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
HMR_3478;Transport reactions
HMR_3480;Beta oxidation of phytanic acid (peroxisomal)
HMR_3481;Transport reactions
HMR_3482;Beta oxidation of phytanic acid (peroxisomal)
HMR_3488;Beta oxidation of phytanic acid (peroxisomal)
HMR_3489;Beta oxidation of phytanic acid (peroxisomal)
HMR_3491;Beta oxidation of phytanic acid (peroxisomal)
HMR_3493;Beta oxidation of phytanic acid (peroxisomal)
