Reaction;Subsystem
HMR_4567;Pentose phosphate pathway
HMR_4568;Pentose phosphate pathway
HMR_4623;Pentose phosphate pathway
HMR_4625;Pentose phosphate pathway
HMR_4710;Pentose phosphate pathway
HMR_4841;Pentose phosphate pathway
HMR_8074;Pentose phosphate pathway
HMR_8653;Pentose phosphate pathway
HMR_3998;Purine metabolism
HMR_4000;Purine metabolism
HMR_4002;Purine metabolism
HMR_4004;Purine metabolism
HMR_4010;Purine metabolism
HMR_4081;Purine metabolism
HMR_4082;Purine metabolism
HMR_4012;Purine metabolism
HMR_4014;Purine metabolism
HMR_4020;Purine metabolism
HMR_4022;Purine metabolism
HMR_4038;Purine metabolism
HMR_4040;Purine metabolism
HMR_4042;Purine metabolism
HMR_4046;Purine metabolism
HMR_4048;Purine metabolism
HMR_4080;Purine metabolism
HMR_4085;Purine metabolism
HMR_4086;Purine metabolism
HMR_4135;Purine metabolism
HMR_4168;Purine metabolism
HMR_4171;Purine metabolism
HMR_4406;Purine metabolism
HMR_4412;Purine metabolism
HMR_4417;Purine metabolism
HMR_4418;Purine metabolism
HMR_4419;Purine metabolism
HMR_4421;Purine metabolism
HMR_4449;Purine metabolism
HMR_4451;Purine metabolism
HMR_4452;Purine metabolism
HMR_4453;Purine metabolism
HMR_4480;Purine metabolism
HMR_4481;Purine metabolism
HMR_4482;Purine metabolism
HMR_4486;Purine metabolism
HMR_4487;Purine metabolism
HMR_4488;Purine metabolism
HMR_4489;Purine metabolism
HMR_4492;Purine metabolism
HMR_4493;Purine metabolism
HMR_4518;Purine metabolism
HMR_4519;Purine metabolism
HMR_4520;Purine metabolism
HMR_4573;Purine metabolism
HMR_4574;Purine metabolism
HMR_4600;Purine metabolism
HMR_4602;Purine metabolism
HMR_4603;Purine metabolism
HMR_4611;Purine metabolism
HMR_4612;Purine metabolism
HMR_4614;Purine metabolism
HMR_4615;Purine metabolism
HMR_4617;Purine metabolism
HMR_4618;Purine metabolism
HMR_4619;Purine metabolism
HMR_4621;Purine metabolism
HMR_4632;Purine metabolism
HMR_4646;Purine metabolism
HMR_4648;Purine metabolism
HMR_4649;Purine metabolism
HMR_4650;Purine metabolism
HMR_4651;Purine metabolism
HMR_4663;Purine metabolism
HMR_4664;Purine metabolism
HMR_4694;Purine metabolism
HMR_4695;Purine metabolism
HMR_4705;Purine metabolism
HMR_4709;Purine metabolism
HMR_4799;Purine metabolism
HMR_4802;Purine metabolism
HMR_4804;Purine metabolism
HMR_4808;Purine metabolism
HMR_4810;Purine metabolism
HMR_4812;Purine metabolism
HMR_4814;Purine metabolism
HMR_5301;Purine metabolism
HMR_5353;Purine metabolism
HMR_6602;Purine metabolism
HMR_6603;Purine metabolism
HMR_6605;Purine metabolism
HMR_6606;Purine metabolism
HMR_6607;Purine metabolism
