,time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C00369__chlo,DM_C02094__chlo,EX_C00244__dra,DM_C05306__chlo,DM_C05307__chlo,EX_C00011__dra,DM_C00116__cytop,EX_C00205__dra,DM_C00404__vacu
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08333333333333333,0.23486566492059285,-0.0690178232840349,0.003273990132125905,0.009999969432059483,-1.1332336253947102,0.0,0.0,-21.970692685245027,0.346256684491979,-1528.625616754469,0.0
2,0.16666666666666666,0.23485578684135516,-0.06901492050355477,0.003148962398777372,0.00999986924265708,-1.1331859633759844,0.0,0.0,-21.84922684270888,0.3893822942639663,-1521.853546596471,0.0
3,0.25,0.23484542999939576,-0.06901187702807189,0.0030268352509425604,0.009999462243954899,-1.1331359913074885,0.0,0.0,-21.69370357462369,0.4206960590306237,-1513.0065689296855,0.0
4,0.3333333333333333,0.23483457123610474,-0.06900868606550542,0.0029083956238577496,0.009998012027836052,-1.1330835974607003,0.0,0.0,-21.51364223312727,0.44295823399938183,-1502.633505324631,0.0
5,0.41666666666666663,0.23482318659337786,-0.06900534056413431,0.002794247205305569,0.00999344576166035,-1.1330286662334927,0.0,0.0,-21.31631831229975,0.4582698355783141,-1491.1542207635282,0.0
6,0.49999999999999994,0.23481125137274442,-0.0690018332743177,0.0026848399062262395,0.00998062005554877,-1.1329710784546445,0.0,0.0,-21.107214744095277,0.46823539213975135,-1478.884359484966,0.0
7,0.5833333333333333,0.23479874010674837,-0.06899815670017,0.002580498113477712,0.009948205187707093,-1.1329107112316703,0.0,0.0,-20.89028698395398,0.47408362329589737,-1466.0482619926952,0.0
8,0.6666666666666666,0.23478562626095442,-0.06899430305369275,0.002481444967856414,0.00987401989917387,-1.1328474365403136,0.0,0.0,-20.668073285691506,0.4767582605598821,-1452.7819174460453,0.0
9,0.75,0.23477188220119222,-0.06899026421145142,0.002387824463006267,0.009719848022360738,-1.1327811210536607,0.0,0.0,-20.441715131613872,0.47698617110729685,-1439.1303895871997,0.0
10,0.8333333333333334,0.23475747899570218,-0.0689860316741831,0.002299722451460807,0.009429513068512117,-1.1327116251722382,0.0,0.0,-20.21105716759005,0.47532844629672194,-1425.0520450512788,0.0
11,0.9166666666666667,0.23474238632408972,-0.06898159652994727,0.0022171858944064534,0.008937762592755031,-1.1326388025984753,0.0,0.0,-19.975141109919623,0.4722189402781774,-1410.452865717803,0.0
12,1.0,0.23472657235125907,-0.06897694942074734,0.0021402364756935837,0.008197286266197232,-1.1325624997176549,0.0,0.0,-19.733391689311755,0.4679938842908407,-1395.2730584642231,0.0
13,1.0833333333333333,0.2347100035804849,-0.06897208051016182,0.0020688716240980874,0.007217334393284621,-1.1324825549293727,0.0,0.0,-19.48723125228295,0.462915406989813,-1379.606410022536,0.0
14,1.1666666666666665,0.23469264481008256,-0.06896697944572605,0.002003048610603759,0.006083373217652509,-1.132398798355504,0.0,0.0,-19.240898100031796,0.45719059683270297,-1363.7610172261884,0.0
15,1.2499999999999998,0.23467445884937596,-0.06896163530746498,0.0019426599322088667,0.004928707078806467,-1.1323110505748895,0.0,0.0,-19.000316716831417,0.4509861690427332,-1348.175107936438,0.0
16,1.333333333333333,0.23465540640327678,-0.06895603653725976,0.0018875201749559197,0.003875075700233747,-1.1322191219664697,0.0,0.0,-18.770727587214473,0.4444381313900774,-1333.2400952846149,0.0
17,1.4166666666666663,0.23463544565237912,-0.06895017085234639,0.0018373773493209067,0.0029913524319605234,-1.1321228107626449,0.0,0.0,-18.555063678482092,0.43765708531178943,-1319.1787139432686,0.0
18,1.4999999999999996,0.2346145320044112,-0.06894402515276754,0.0017919409382457906,0.0022919597354982865,-1.132021901811598,0.0,0.0,-18.35393495710841,0.43073133094417426,-1306.0427139915216,0.0
19,1.5833333333333328,0.23459261782266752,-0.06893758543087952,0.0017509096824691091,0.0017577953625520515,-1.1319161652459442,0.0,0.0,-18.16651414317405,0.4237297171441692,-1293.7778580660474,0.0
20,1.666666666666666,0.23456965203172664,-0.06893083668425407,0.001713989466985498,0.0013573050585340455,-1.1318053546394318,0.0,0.0,-17.991416237326828,0.41670482799882,-1282.288790505218,0.0
21,1.7499999999999993,0.23454557991189395,-0.06892376282823974,0.0016809013265015743,0.001059014327235092,-1.1316892059624253,0.0,0.0,-17.8272227044733,0.40969621610783225,-1271.4777288015932,0.0
22,1.8333333333333326,0.23452034270015884,-0.06891634660317696,0.0016513833933391297,0.0008365790381658628,-1.131567435690925,0.0,0.0,-17.672696611925957,0.40273329355698506,-1261.2603160742124,0.0
23,1.9166666666666659,0.23449387734332272,-0.0689085694720667,0.001625190169701191,0.000669705020888606,-1.1314397395835778,0.0,0.0,-17.52682694843739,0.39583770063674373,-1251.5688418389275,0.0
24,1.9999999999999991,0.2344661160206149,-0.06890041150557724,0.0016020910339553125,0.000543397241351228,-1.131305790396241,0.0,0.0,-17.388803286242954,0.389025152436669,-1242.3503151427121,0.0
25,2.0833333333333326,0.23443698571906213,-0.06889185125195903,0.0015818687909445808,0.00044679387660721126,-1.1311652358526048,0.0,0.0,-17.257972459358673,0.3823068445711078,-1233.5632148873503,0.0
26,2.166666666666666,0.23440640777085103,-0.06888286558970981,0.001564318504698568,0.0003720847999229018,-1.1310176963669654,0.0,0.0,-17.133797903432196,0.3756905150838108,-1225.1744454002228,0.0
