,time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C00369__chlo,DM_C02094__chlo,EX_C00244__dra,DM_C05306__chlo,DM_C05307__chlo,EX_C00011__dra,DM_C00116__cytop,EX_C00205__dra,DM_C00404__vacu
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08333333333333333,0.3396687328478438,-0.0998153416180067,0.0033393668634513034,4.5414775633425464e-05,-1.6389114589728553,0.0,0.0,-25.46827122720383,0.2984294747081717,-1789.7903777078338,0.0
2,0.16666666666666666,0.3396683221254236,-0.09981522092276818,0.003245051200737689,3.663537818824681e-05,-1.638909477225302,0.0,0.0,-25.408097269798475,0.35294349322881197,-1785.9316935053787,0.0
3,0.25,0.33966789038786693,-0.09981509405200217,0.003153291528470088,3.049746538850513e-05,-1.6389073940790866,0.0,0.0,-25.306891609416486,0.39298018113550703,-1779.6201539195629,0.0
4,0.3333333333333333,0.33966743656255083,-0.09981496069051288,0.0030649238207407312,2.6103189291942507e-05,-1.6389052043588328,0.0,0.0,-25.175982005136753,0.4218518085515622,-1771.5111240043764,0.0
5,0.41666666666666663,0.3396669595624242,-0.09981482051884809,0.002980552448699207,2.2892554606586903e-05,-1.6389029028194173,0.0,0.0,-25.024100292175937,0.44209893577873177,-1762.1119021754478,0.0
6,0.49999999999999994,0.33966645827939695,-0.09981467321139449,0.00290059625352271,2.0506768231907135e-05,-1.6389004841143213,0.0,0.0,-24.85797268045555,0.4556723423198794,-1751.8153048913352,0.0
7,0.5833333333333333,0.3396659315783507,-0.09981451843457939,0.0028253255167528003,1.8709935254729825e-05,-1.6388979427665336,0.0,0.0,-24.682777212706316,0.46407309449785755,-1740.92569290866,0.0
8,0.6666666666666666,0.33966537829147825,-0.09981435584522898,0.0027548917534392717,1.7343121185778223e-05,-1.6388952731413813,0.0,0.0,-24.50249554988177,0.4684594275786689,-1729.678977195039,0.0
9,0.75,0.3396647972131454,-0.09981418508905845,0.002689351866643196,1.6296751481176987e-05,-1.6388924694216191,0.0,0.0,-24.320182554087566,0.46972789733535025,-1718.2579396090368,0.0
10,0.8333333333333334,0.33966418709513685,-0.09981400579926462,0.002628687846686911,1.5493635791340015e-05,-1.6388895255845843,0.0,0.0,-24.13817281418099,0.46857486562664796,-1706.8039607825558,0.0
11,0.9166666666666667,0.33966354664211956,-0.09981381759519604,0.0025728229191073204,1.4878289051427644e-05,-1.6388864353802461,0.0,0.0,-23.958239172529257,0.4655430828475321,-1695.4260157488623,0.0
12,1.0,0.33966287450726207,-0.09981362008107836,0.002521634832967584,1.4410068180409172e-05,-1.638883192310134,0.0,0.0,-23.78171483774327,0.4610570278312972,-1684.2075996430249,0.0
13,1.0833333333333333,0.33966216928808773,-0.09981341284477312,0.0024749668222452514,1.4058670892817298e-05,-1.6388797896072214,0.0,0.0,-23.609587878085573,0.45544978178126394,-1673.2120861095295,0.0
14,1.1666666666666665,0.3396614295222158,-0.0998131954565482,0.002432636654712295,1.3801126984933958e-05,-1.6388762202154954,0.0,0.0,-23.44257472202879,0.4489835260773476,-1662.4868967574148,0.0
15,1.2499999999999998,0.339660653683192,-0.09981296746783516,0.0023944440946335275,1.361975104240318e-05,-1.638872476769759,0.0,0.0,-23.281177641338502,0.44186523057744165,-1652.0667652974305,0.0
16,1.333333333333333,0.33965984017608314,-0.09981272840994561,0.0023601770396962166,1.3500725871123775e-05,-1.6388685515744286,0.0,0.0,-23.125729950530392,0.4342587051221582,-1641.9763087975234,0.0
17,1.4166666666666663,0.3396589873328681,-0.09981247779271708,0.002329616542870401,1.3433106856514119e-05,-1.6388644365812717,0.0,0.0,-22.9764317304679,0.42629389251980904,-1632.2320654364241,0.0
18,1.4999999999999996,0.33965809340752645,-0.09981221510305789,0.0023025408920803094,1.3408111800889282e-05,-1.6388601233656248,0.0,0.0,-22.833378196191237,0.4180740620589663,-1622.8441326183959,0.0
19,1.5833333333333328,0.3396571565705974,-0.09981193980336385,0.0022787288915639536,1.3418607332004938e-05,-1.6388556031003594,0.0,0.0,-22.69658231932675,0.40968139957177446,-1613.8174501229641,0.0
20,1.666666666666666,0.3396561749033178,-0.0998116513297849,0.002257962466388038,1.3458732611930518e-05,-1.6388508665273402,0.0,0.0,-22.565992936989264,0.4011813687119438,-1605.1528212834664,0.0
21,1.7499999999999993,0.3396551463911493,-0.09981134909032834,0.0022400286940819237,1.3523620246533925e-05,-1.6388459039263876,0.0,0.0,-22.44150929655015,0.3926261274727942,-1596.8478175732625,0.0
22,1.8333333333333326,0.3396540689167662,-0.09981103246279369,0.0022247213534037757,1.3609186880018675e-05,-1.6388407050813338,0.0,0.0,-22.32299277267562,0.3840572159328595,-1588.897445764172,0.0
23,1.9166666666666659,0.33965294025244785,-0.09981070079254076,0.002211842068745234,1.3711974332243853e-05,-1.6388352592433593,0.0,0.0,-22.210276330523932,0.3755076798517268,-1581.294711899579,0.0
24,1.9999999999999991,0.33965175805193715,-0.09981035339009584,0.0022012011187580328,1.382902778072663e-05,-1.6388295550917016,0.0,0.0,-22.103172183546533,0.3670037557752735,-1574.0310837126842,0.0
25,2.0833333333333326,0.33965051984174494,-0.0998099895286003,0.0021926179688676016,1.3957801343172615e-05,-1.6388235806917186,0.0,0.0,-22.001477996822825,0.35856621368719277,-1567.0968708834043,0.0
26,2.166666666666666,0.3396492230119617,-0.09980960844110172,0.002185921579126485,1.4096084083206403e-05,-1.6388173234505237,0.0,0.0,-21.904981911047255,0.3502114307423201,-1560.4815382551762,0.0
