,time,ActiveBiomass,Biomass,Carotene,Chlorophyll,Glycerol,Light,Nitrate,Nitrogen_quota,Phosphate,Phosphate_quota,Starch,TAG
0,0.0,0.04745664,0.066,0.00716,0.060700000000000004,0.15,0.0,5.0,5.15,0.13,0.1,0.05,0.0131
1,0.08333333333333333,0.04877879180427241,0.06878094660776916,0.007309198214225134,0.05825741458086843,0.14656136898531436,0.0,4.9936205793086685,5.035072715546361,0.12961147135060042,0.1015979794006472,0.06096519825624925,0.01766966426425528
2,0.16666666666666666,0.05015668505853651,0.07166450417082441,0.007453877674461571,0.05592518136944943,0.14361479711146247,0.0,4.986972204509127,4.925803689701283,0.12920656247147772,0.10315214696731895,0.07100551735528854,0.022026853392336697
3,0.25,0.051592265539200446,0.07464739385394292,0.007594887773847597,0.053702313369269276,0.14106221251884785,0.0,4.980045487173972,4.822315810255639,0.12878470157516078,0.10467346103239429,0.08018037238398949,0.026179229318862587
4,0.3333333333333333,0.05308748050867902,0.07772735635617212,0.007732856667050677,0.05158625097409885,0.13882667964510886,0.0,4.972831031705698,4.724597672677167,0.12834531643741864,0.10617023635884436,0.0885491131487742,0.03013398523827311
5,0.41666666666666663,0.05464424243302099,0.08090287759891411,0.007868177441063098,0.049573354565790255,0.13684751400247355,0.0,4.965319610400293,4.632542271314676,0.12788784505937917,0.10764876671288817,0.09617016451377747,0.033897919510223196
6,0.49999999999999994,0.05626444189888258,0.08417305356104779,0.00800090763943395,0.04765933093739978,0.13507664732696423,0.0,4.957502101122447,4.545978995629287,0.12741173187161267,0.10911377261605214,0.10310017924621512,0.03747740733204899
7,0.5833333333333333,0.05794995830345771,0.08753746852919235,0.008130532428628994,0.045839542023193146,0.1334758511759854,0.0,4.949369435726407,4.464697548073653,0.1269164245929164,0.11056877135244805,0.1093935364649704,0.04087842131893911
8,0.6666666666666666,0.059702668248662535,0.09099607022127697,0.008255530015084889,0.044109230897167964,0.13201463366531896,0.0,4.940912559553684,4.388466257515208,0.126401371763446,0.11201639684816286,0.1151020995285284,0.044106586791895094
9,0.75,0.06152445145637864,0.09454902941714098,0.008372724417191921,0.04246368863350743,0.13066865712848827,0.0,4.932122402891801,4.3170464601836915,0.12586602100654143,0.11345868820160816,0.12027517513921314,0.047167262377542034
10,0.8333333333333334,0.06341719394316164,0.0981965886521413,0.008476574313399947,0.04089837211215102,0.12941853726907665,0.0,4.9229898656563185,4.2502034745520305,0.12530981809576358,0.11489734343832333,0.1249596162541052,0.05006563271447129
11,0.9166666666666667,0.06538278851360234,0.10193894346746962,0.008558867959228137,0.03940896681468163,0.12824887331092027,0.0,4.913505815010328,4.187713090293056,0.12473220680995004,0.11633389368051485,0.12919997427797048,0.052806783881640715
12,1.0,0.06742313363975544,0.10577624823190492,0.008609594370316115,0.03799137850221681,0.12714734954943777,0.0,4.903661090771334,4.129361233057703,0.12413262926251785,0.11776971202314214,0.13303854808951154,0.05539571168106153
13,1.0833333333333333,0.0695401332987926,0.10970883056011445,0.008619451354543435,0.036641654353169115,0.12610381584210337,0.0,4.893446506194289,4.074935927472996,0.12351052594908568,0.11920580163392763,0.13651518549504904,0.05783722368382994
14,1.1666666666666665,0.071735701095657,0.11373756044247046,0.008583113586897295,0.035355884284984256,0.12510943973108504,0.0,4.882852828080136,4.024216169524392,0.1228653345361184,0.12064246537132042,0.1396668671810267,0.06013577374621354
15,1.2499999999999998,0.07401177035441746,0.11786414541734604,0.008501159545079656,0.03413016444730791,0.12415616734610288,0.0,4.871870728084232,3.9769666760722173,0.12219648689531946,0.12207911451039152,0.14252734005786205,0.062295356026758064
16,1.333333333333333,0.07637030818496561,0.12209115289387153,0.008379367038328702,0.03296065564257891,0.1232366029341522,0.0,4.860490714844568,3.9329432048508934,0.12150340497016543,0.12351438711805783,0.14512706633799763,0.0643195550757347
17,1.4166666666666663,0.07881332900802895,0.1264217934371241,0.00822625446258694,0.031843687309478466,0.12234414080268352,0.0,4.848703068722865,3.8919040514246075,0.12078549680127088,0.12494648225607352,0.1474934920318449,0.06621171406541468
18,1.4999999999999996,0.08134290402072739,0.13085964638523717,0.008050644206024271,0.030775839206700552,0.12147309878389483,0.0,4.836497796133032,3.8536202668137802,0.12004215374484836,0.12637349475775234,0.1496514440235744,0.06797511025150899
19,1.5833333333333328,0.08396116599571098,0.1354084593132992,0.007860216274133136,0.029753974202300332,0.12061873365706717,0.0,4.823864606385463,3.817881019704813,0.11927274906256935,0.12779362639162675,0.15162349264430014,0.06961306738373652
20,1.666666666666666,0.08667031081135716,0.1400720459977859,0.007661020756434167,0.028775232748781555,0.11977715403489439,0.0,4.810792904303443,3.7844947007205154,0.11847663747173133,0.12920527256311592,0.1534302266603967,0.07112900032371774
21,1.7499999999999993,0.08947259746548068,0.1448542531462452,0.007457545531718746,0.027837008804449052,0.11894518827590642,0.0,4.797271790157206,3.7532877086703325,0.117653155141354,0.13060703314450975,0.15509045370277583,0.07252641646015141
22,1.8333333333333326,0.09237034782779542,0.1497589617307899,0.0072529968971104955,0.026936921089039285,0.11812025060275659,0.0,4.783290060858143,3.724102433353642,0.11680161976476583,0.13199769079659765,0.15662135343303646,0.07380889766722064
23,1.9166666666666659,0.0953659468145155,0.15479010114825215,0.0070496079802561465,0.02607278618959292,0.11730022518336858,0.0,4.768836209116551,3.6967952145676826,0.11592133050849399,0.13337618132626816,0.15803860395906333,0.07498007696555986
