,time,ActiveBiomass,Biomass,Carotene,Chlorophyll,Glycerol,Light,Nitrate,Nitrogen_quota,Phosphate,Phosphate_quota,Starch,TAG
0,0.0,0.04745664,0.066,0.00716,0.060700000000000004,0.15,0.0,0.0,5.15,0.13,0.1,0.05,0.0131
1,0.08333333333333333,0.04745664000000026,0.06744269772766062,0.0074492836281609826,0.059404802723272795,0.149424928946794,0.0,0.0,5.040110939453966,0.13,0.09786623183405728,0.06205106754808228,0.01797256377408713
2,0.16666666666666666,0.04745664000000049,0.06887841919355148,0.007736519446446566,0.05817083751138791,0.1489638301425517,0.0,0.0,4.935417021147422,0.13,0.0958333402164545,0.07319308806698455,0.022855675340234104
3,0.25,0.04745664000000078,0.0703043154674407,0.008022206646266163,0.05699589233009813,0.14860059354318902,0.0,0.0,4.835730568369129,0.13,0.0938976809392061,0.08346472242935088,0.02775470002582344
4,0.3333333333333333,0.047456640000001035,0.0717178253681829,0.008306788776346318,0.05587773441744345,0.14832207765029806,0.0,0.0,4.740862145796286,0.13,0.09205557564652952,0.09290250118155023,0.03267448684554751
5,0.41666666666666663,0.04745664000000128,0.07311660745473375,0.008590667992364385,0.054814106737583676,0.14811746760084868,0.0,0.0,4.650620258625316,0.13,0.09030330599272429,0.10154133158186153,0.03761953467724541
6,0.49999999999999994,0.047456640000001625,0.07449851192463769,0.008874210820559269,0.05380275026696772,0.14797779464626196,0.0,0.0,4.56481324340831,0.13,0.08863715035744266,0.10941464029044609,0.04259403804559317
7,0.5833333333333333,0.047456640000001715,0.07586156460898172,0.009157751427597862,0.052841426009867784,0.14789556347761165,0.0,0.0,4.483251135927839,0.13,0.0870534201151034,0.11655444103423104,0.04760190605503506
8,0.6666666666666666,0.047456640000001875,0.0772039564212855,0.009441593765985284,0.05192793278040139,0.1478644597552528,0.0,0.0,4.405747179885798,0.13,0.08554848892982105,0.12299138528905397,0.052646773608302444
9,0.75,0.047456640000002034,0.07852403575913226,0.009726013091992176,0.051060120586281885,0.14787911915698163,0.0,0.0,4.332118962427553,0.13,0.08411881480441823,0.12875481087144405,0.057732010323591036
10,0.8333333333333334,0.04745664000000216,0.07982030262685126,0.010011257108861252,0.05023590024859171,0.14793494423788803,0.0,0.0,4.2621892303171,0.13,0.08276095592848712,0.1338727920137874,0.06286072888265616
11,0.9166666666666667,0.047456640000002284,0.08109140376563766,0.010297546900758948,0.04945324999274869,0.14802795872849017,0.0,0.0,4.195786449137668,0.13,0.08147158153665347,0.13837219113841434,0.06803579335841178
12,1.0,0.04745664000000238,0.08233612833796325,0.010585077782339202,0.04871021966769166,0.14815469130286124,0.0,0.0,4.132745161262155,0.13,0.08024747885945904,0.14227871159877212,0.0732598276572578
13,1.0833333333333333,0.04745664000000256,0.08355340386537614,0.010874020162169658,0.048004933135875325,0.1483120826426476,0.0,0.0,4.072906188628642,0.13,0.07908555706075007,0.1456169505025149,0.07853522406714968
14,1.1666666666666665,0.04745664000000278,0.08474229221736576,0.011164520494912192,0.0473355892678559,0.14849741098426428,0.0,0.0,4.016116717124524,0.13,0.07798284887620408,0.14841045083494409,0.0838641518585379
15,1.2499999999999998,0.047456640000002895,0.08590198551709902,0.011456702373967181,0.04670046188306434,0.1487082323799487,0.0,0.0,3.9622302915614833,0.13,0.07693651051575669,0.1506817522711933,0.08924856587930069
16,1.333333333333333,0.04745664000000307,0.08703180187877817,0.01175066779319836,0.04609789890379316,0.1489423327084631,0.0,0.0,3.9111067438967955,0.13,0.07594382026984042,0.15245244023400967,0.09469021509224465
17,1.4166666666666663,0.047456640000003165,0.0881311809272931,0.012046498584415711,0.045526320930359944,0.1491976890956585,0.0,0.0,3.86261207234522,0.13,0.07500217616204304,0.15374319289905605,0.10019065101490704
18,1.4999999999999996,0.0474566400000033,0.08919967907747665,0.012344258017842804,0.04498421939907487,0.1494724388913923,0.0,0.0,3.8166182850945636,0.13,0.07410909291445684,0.15457382596689898,0.10575123603263617
19,1.5833333333333328,0.04745664000000339,0.09023696457003318,0.012643992536984823,0.04447015444843305,0.149764854729364,0.0,0.0,3.7730032192658016,0.13,0.07326219843234513,0.1549633351121118,0.111373151565138
20,1.666666666666666,0.04745664000000349,0.09124281227583557,0.012945733587896822,0.043982752590647475,0.1500733244943952,0.0,0.0,3.731650343358151,0.13,0.07245922996811911,0.15492993608904035,0.11705740607521788
21,1.7499999999999993,0.047456640000003526,0.09210337723803028,0.013265558673962482,0.04357386362772811,0.15057950155270663,0.0,0.0,3.696958775664018,0.13,0.07178560729444677,0.15346097863528282,0.12295286682029241
22,1.8333333333333326,0.04745664000000355,0.09249327624065462,0.013651000700926803,0.043390607877886476,0.1517891486523789,0.0,0.0,3.6814107178108975,0.13,0.07148370325846384,0.14766561434306544,0.12950720851604425
23,1.9166666666666659,0.04745664000000357,0.0927357014506616,0.014056809263626867,0.04327734551794261,0.1531158960577798,0.0,0.0,3.6718011436146702,0.13,0.07129710958475068,0.14161473241734066,0.13528047998508289
24,1.9999999999999991,0.047456640000003575,0.09289603716872374,0.014474100545382123,0.043202724473191914,0.15444623543875746,0.0,0.0,3.6654700335575696,0.13,0.07117417540888465,0.1357012476487247,0.1404049010338615
25,2.0833333333333326,0.047456640000003596,0.09299992673934271,0.014899533943930888,0.04315449474522973,0.15574070398783282,0.0,0.0,3.6613780549907604,0.13,0.07109471951438351,0.12987776836116838,0.1451280277655771
